rid,binaryID
8608,111
8609,1111
8611,11
9586,11110
10564,1111001
10565,111100
10566,111111011
10567,11111101111
10568,11111
10569,1111110111
10570,1111110
10571,11111101
10572,111111
10573,111111011110
10574,11111101111111
10575,111111011111
10576,1111110111111
10577,111111011111110
10578,1111110111111101
10579,11111101111111011
10580,111111011111110110
10581,1111110111111101101
10582,111111011111111
10583,111111011111111101
10584,111111011111111111
10585,11111101111111011111
10586,111111011111110111
10587,1111110111111101111
10588,1111111
10589,11111111
10594,1111011
10595,111101
10596,11111101111111110
10597,1111110111111111
10598,11111101111111111
8610,1
